,Place's name,Place's rank,Place's type,Place's status,Place's time,Place's images,Place's url,Place's rate,Place's total reviewer,Place's 5 points,Place's 4 points,Place's 3 points,Place's 2 points,Place's 1 points,retrived_date,Province
37,Dinh Bảo Đại,Số 16 trong 56 hoạt động giải trí tại Đà Lạt,Địa điểm lịch sử • Tòa nhà kiến trúc,,,516,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d451013-Reviews-Bao_Dai_s_Palace-Da_Lat_Lam_Dong_Province.html,3.5,562,108,209,193,35,17,04/21/2022,Lâm Đồng
89,Chợ Đêm Đà Lạt,Số 17 trong 56 hoạt động giải trí tại Đà Lạt,Chợ trời & chợ đường phố,,,209,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d11443926-Reviews-Da_Lat_Night_Market-Da_Lat_Lam_Dong_Province.html,4,167,53,73,27,6,8,04/21/2022,Lâm Đồng
101,Tuyen Lam Lake,Số 5 trong 56 hoạt động giải trí tại Đà Lạt,Vùng nước,,,154,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d9989857-Reviews-Tuyen_Lam_Lake-Da_Lat_Lam_Dong_Province.html,4.5,146,76,53,15,2,0,04/21/2022,Lâm Đồng
134,Linh Son Pagoda,Số 15 trong 56 hoạt động giải trí tại Đà Lạt,Địa điểm tôn giáo,,,123,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d3812786-Reviews-Linh_Son_Pagoda-Da_Lat_Lam_Dong_Province.html,4.5,95,45,36,13,1,0,04/21/2022,Lâm Đồng
176,Thung lũng vàng,Số 25 trong 56 hoạt động giải trí tại Đà Lạt,Thung lũng,,,52,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d7305747-Reviews-Golden_Valley-Da_Lat_Lam_Dong_Province.html,4,59,27,20,10,2,0,04/21/2022,Lâm Đồng
186,Da Lat Cable Car,Số 22 trong 56 hoạt động giải trí tại Đà Lạt,Xe điện,,,86,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d15334345-Reviews-Da_Lat_Cable_Car-Da_Lat_Lam_Dong_Province.html,4.5,54,26,22,4,0,2,04/21/2022,Lâm Đồng
265,Thác Hang Cọp,Số 43 trong 56 hoạt động giải trí tại Đà Lạt,Thác nước,,,17,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d7333758-Reviews-Hang_Cop_Waterfall_Tiger_s_Cave_Waterfall-Da_Lat_Lam_Dong_Province.html,3.5,28,6,11,4,4,3,04/21/2022,Lâm Đồng
301,Rain Nightclub Dalat,Số 23 trên 34 Giải trí về đêm ở Đà Lạt,Quán bar & câu lạc bộ,,,41,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d5570333-Reviews-Rain_Nightclub_Dalat-Da_Lat_Lam_Dong_Province.html,3,21,6,4,1,1,9,04/21/2022,Lâm Đồng
374,Khu du lịch sinh thái Hoa Sơn Điền Trang,Số 40 trong 56 hoạt động giải trí tại Đà Lạt,Điểm thu hút khách tham quan & thắng cảnh • Công viên,,,38,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d15764333-Reviews-Ecotourism_Destinations_Hoa_Son_Dien_Trang-Da_Lat_Lam_Dong_Province.html,4,13,4,4,4,1,0,04/21/2022,Lâm Đồng
431,Sơn Pacamara Specialty Coffee Farm,Số 35 trong 56 hoạt động giải trí tại Đà Lạt,Nông trại,,,39,https://www.tripadvisor.com.vn/Attraction_Review-g293922-d15592658-Reviews-Son_Pacamara_Coffee_Farm_Experience-Da_Lat_Lam_Dong_Province.html,4.5,10,8,1,0,1,0,04/21/2022,Lâm Đồng
